,Player,Team,GP,GS,Min,PTS,PM_2,PA_2,P2proc,PM_3,PA_3,P3proc,FTM,FTA,FTAproc,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
0,A. KURUCSARTURS KURUCS,TDS,70,4,6:45,1,0.1,0.4,14.3%,0.2,0.8,28.1%,0.2,0.3,63.6%,0.2,0.2,0.4,0.7,0.1,0.4,0,0,1.2,0.3,-0.1
1,M. ABIMUSTAFA ABI,"ULK, EFS",78,30,12:44,1.7,0.4,0.8,43.9%,0.2,0.6,35.6%,0.3,0.6,54.3%,0.1,0.9,1.1,0.4,0.3,0.6,0,0.1,2.1,0.7,0.3
2,P. BOZICPETAR BOZIC,PAR,122,25,11:23,2.7,0.2,0.6,36.8%,0.7,1.9,35.1%,0.3,0.4,72.2%,0.3,0.7,1,0.8,0.5,0.8,0.1,0.1,2.7,0.7,0.6
3,D. FLACCADORIDIEGO FLACCADORI,"BAY, EA7",45,5,7:07,1.6,0.5,1.1,41.2%,0.1,0.5,25%,0.3,0.4,75%,0.1,0.4,0.5,0.7,0.2,0.5,0,0.1,1,0.4,0.7
4,S. SCHULTZESVEN SCHULTZE,"MIL, BER",45,3,9:27,3.2,0.7,1.4,46.2%,0.5,1.4,36.9%,0.3,0.5,54.5%,0.5,0.7,1.2,0.4,0.2,0.7,0,0.1,2.3,0.7,0.8
5,S. MILOSEVICSTRAHINJA MILOSEVIC,PAR,55,1,5:40,1.3,0.5,0.9,52.1%,0,0.2,20%,0.3,0.5,55.6%,0.5,0.6,1,0.2,0.2,0.3,0.1,0.1,1.2,0.5,0.8
6,B. BATUKBIRKAN BATUK,"DDI, EFS",105,20,13:20,3.2,0.4,0.9,47.9%,0.7,2,34.8%,0.3,0.5,60%,0.5,0.9,1.4,0.3,0.4,0.3,0,0.2,2.4,0.6,1.1
7,M. CARRARETTOMARCO CARRARETTO,MPS,111,11,10:25,2.9,0.5,1.1,47.5%,0.5,1.3,40.7%,0.3,0.3,77.8%,0.2,0.6,0.8,0.4,0.3,0.3,0,0,1.2,0.4,1.8
8,D. BALBAYDOGUS BALBAY,EFS,222,42,9:04,1.6,0.5,1.1,47.7%,0.1,0.5,30%,0.1,0.2,54.5%,0.4,0.7,1.1,0.9,0.5,0.4,0.1,0.1,1.4,0.5,1.8
9,M. DELOWMALTE DELOW,BER,85,21,11:56,2.7,0.7,1.4,50%,0.4,1,36.4%,0.2,0.3,73.9%,0.5,1,1.5,0.6,0.5,0.6,0,0.2,1.8,0.4,1.8
