,Player,Team,GP,GS,Min,PTS,PM_2,PA_2,P2proc,PM_3,PA_3,P3proc,FTM,FTA,FTAproc,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
0,A. KURUCSARTURS KURUCS,TDS,70,4,6,1,0.1,0.4,14.3,0.2,0.8,28.1,0.2,0.3,63.6,0.2,0.2,0.4,0.7,0.1,0.4,0,0,1.2,0.3,-0.1
1,M. ABIMUSTAFA ABI,"ULK, EFS",78,30,12,1.7,0.4,0.8,43.9,0.2,0.6,35.6,0.3,0.6,54.3,0.1,0.9,1.1,0.4,0.3,0.6,0,0.1,2.1,0.7,0.3
2,P. BOZICPETAR BOZIC,PAR,122,25,11,2.7,0.2,0.6,36.8,0.7,1.9,35.1,0.3,0.4,72.2,0.3,0.7,1,0.8,0.5,0.8,0.1,0.1,2.7,0.7,0.6
3,D. FLACCADORIDIEGO FLACCADORI,"BAY, EA7",45,5,7,1.6,0.5,1.1,41.2,0.1,0.5,25,0.3,0.4,75,0.1,0.4,0.5,0.7,0.2,0.5,0,0.1,1,0.4,0.7
4,S. SCHULTZESVEN SCHULTZE,"MIL, BER",45,3,9,3.2,0.7,1.4,46.2,0.5,1.4,36.9,0.3,0.5,54.5,0.5,0.7,1.2,0.4,0.2,0.7,0,0.1,2.3,0.7,0.8
5,S. MILOSEVICSTRAHINJA MILOSEVIC,PAR,55,1,5,1.3,0.5,0.9,52.1,0,0.2,20,0.3,0.5,55.6,0.5,0.6,1,0.2,0.2,0.3,0.1,0.1,1.2,0.5,0.8
6,B. BATUKBIRKAN BATUK,"DDI, EFS",105,20,13,3.2,0.4,0.9,47.9,0.7,2,34.8,0.3,0.5,60,0.5,0.9,1.4,0.3,0.4,0.3,0,0.2,2.4,0.6,1.1
7,M. CARRARETTOMARCO CARRARETTO,MPS,111,11,10,2.9,0.5,1.1,47.5,0.5,1.3,40.7,0.3,0.3,77.8,0.2,0.6,0.8,0.4,0.3,0.3,0,0,1.2,0.4,1.8
8,D. BALBAYDOGUS BALBAY,EFS,222,42,9,1.6,0.5,1.1,47.7,0.1,0.5,30,0.1,0.2,54.5,0.4,0.7,1.1,0.9,0.5,0.4,0.1,0.1,1.4,0.5,1.8
9,M. DELOWMALTE DELOW,BER,85,21,11,2.7,0.7,1.4,50,0.4,1,36.4,0.2,0.3,73.9,0.5,1,1.5,0.6,0.5,0.6,0,0.2,1.8,0.4,1.8
10,J. MATTISSECKJONAS MATTISSECK,BER,102,20,13,2.7,0.3,0.6,43.8,0.6,1.8,34.6,0.2,0.3,85.2,0.4,0.7,1.1,0.7,0.4,0.5,0,0.1,1.7,0.8,1.9
11,N. BOUNTOURISNIKOLAOS BOUNTOURIS,OLY,44,14,12,2.4,0.3,0.6,51.9,0.4,1.2,31.5,0.6,0.9,71.1,0.3,0.5,0.8,1.1,0.7,0.5,0.1,0.1,2.1,0.9,1.9
12,M. STRAZELMATTHEW STRAZEL,"ASV, ASM",92,9,12,3.3,0.5,1.4,38.3,0.5,1.6,34,0.6,0.8,78.9,0.2,0.5,0.7,1.4,0.2,1.1,0,0.1,1.6,1.3,2
13,R. GABINIROBERTO GABINI,"BKN, ROM",55,25,14,4.3,0.7,1.6,45.6,0.9,2.5,34.6,0.3,0.4,71.4,0.5,1.7,2.2,0.3,0.8,1.1,0.2,0.2,2.6,0.7,2
14,T. SCHNEIDERTIM SCHNEIDER,BER,89,7,11,3,0.5,1.3,40.7,0.6,1.8,32.5,0.3,0.4,65.7,0.6,1.2,1.7,0.3,0.2,0.3,0.1,0.1,1.2,0.4,2
15,E. VORONOVEVGENY VORONOV,"CSK, LOK, UNK, ZEN, KHI",104,37,13,3.7,1,2,47.9,0.4,1.4,27.8,0.5,0.7,74,0.3,0.9,1.2,0.8,0.5,0.8,0.1,0.1,2.2,1.2,2.2
16,S. LAZAREVICSTEFAN LAZAREVIC,CZV,56,23,14,2.6,0.8,1.4,57,0.2,0.6,34.4,0.4,0.4,83.3,0.9,1.2,2.1,0.5,0.4,0.2,0,0.1,2.5,0.6,2.3
17,D. KHVOSTOVDMITRY KHVOSTOV,"DYN, KHI, NIZ, ZEN",90,20,13,2.6,0.5,1.2,43.6,0.3,1.3,26.5,0.5,0.7,74.2,0.2,0.6,0.7,1.9,0.3,1,0,0,1.8,1.4,2.3
18,D. AGRAVANISDIMITRIS AGRAVANIS,"OLY, PAO",83,12,11,3.3,0.8,1.8,47,0.3,1.6,20.9,0.6,0.9,67.6,0.8,1.6,2.4,0.3,0.3,0.4,0.3,0.2,2.1,0.9,2.3
19,S. ANTONOVSEMEN ANTONOV,"NIZ, CSK",178,58,11,3.1,0.6,1.4,47.5,0.5,1.3,37.7,0.3,0.4,69.3,0.6,1,1.6,0.5,0.3,0.4,0.3,0.1,1.7,0.5,2.4
20,A. TONOLLIALESSANDRO TONOLLI,ROM,65,24,14,2.5,0.3,0.7,39.1,0.5,1.4,36.4,0.5,0.6,77.5,0.7,1.4,2.1,0.5,0.8,0.6,0.4,0,2.8,1,2.4
21,B. LAZICBRANKO LAZIC,CZV,224,126,18,3.6,0.7,1.4,46.5,0.6,1.7,35.5,0.5,0.6,79.5,0.6,0.9,1.5,0.7,0.7,0.6,0.1,0.1,2.6,1.2,2.4
22,L. STAIGERLUCCA STAIGER,"BAY, BRO",97,11,10,3.9,0.2,0.4,38.5,1.2,2.8,41.5,0.1,0.2,73.3,0.2,0.7,0.9,0.4,0.2,0.3,0,0,1.1,0.3,2.4
23,A. YILMAZALPER YILMAZ,EFS,80,7,15,2.2,0.2,0.5,48.8,0.5,1.6,29,0.2,0.4,67.9,0.3,1.3,1.7,1.2,1,0.6,0.1,0.1,2,0.5,2.5
24,M. MAHMUTOGLUMELIH MAHMUTOGLU,FNB,220,44,11,4.4,0.6,1.2,49.2,1,2.5,40.1,0.3,0.3,89,0.1,0.6,0.7,0.4,0.2,0.3,0,0.1,1.2,0.4,2.5
25,G. KALAITZISGEORGIOS KALAITZIS,"ARI, PAO",111,35,15,3,0.6,1.3,43.8,0.4,1,37.2,0.7,1,73.8,0.4,1.3,1.7,1.2,0.8,0.9,0,0.1,2.7,1.1,2.6
26,B. KRASICBARISA KRASIC,CIB,66,16,15,5.1,0.8,2,42.3,0.9,2.3,37.9,0.8,1,83.3,0.6,1.4,2,0.2,0.4,0.7,0.3,0.2,2.7,1,2.6
27,E. VIALTSEVEGOR VIALTSEV,"CSK, KHI",113,32,11,3.7,0.5,1.1,50.4,0.7,1.6,43.2,0.5,0.6,82.1,0.2,0.7,1,0.9,0.3,0.6,0,0.1,1.8,1,2.7
28,G. RICCIGIAMPAOLO RICCI,EA7,66,10,11,2.9,0.6,1,62.1,0.5,1.4,34.8,0.2,0.3,60,0.7,1.5,2.2,0.4,0.4,0.3,0.1,0,1.8,0.4,2.8
